Line#,Date,"Temperature (MX-TEMP-2 20835814:20835814-1), *C, 20835814","RH (MX-RH-2 20835814:20835814-2), %, 20835814","Dew Point (MX-TEMP-2 20835814:20835814-4), *C, 20835814","Temperature (MX-TEMP-2 20835815:20835815-1), *C, 20835815","RH (MX-RH-2 20835815:20835815-2), %, 20835815","Dew Point (MX-TEMP-2 20835815:20835815-4), *C, 20835815","Temperature (MX-TEMP-2 20835816:20835816-1), *C, 20835816","RH (MX-RH-2 20835816:20835816-2), %, 20835816","Dew Point (MX-TEMP-2 20835816:20835816-4), *C, 20835816","Temperature (MX-TEMP-2 20835817:20835817-1), *C, 20835817","RH (MX-RH-2 20835817:20835817-2), %, 20835817","Dew Point (MX-TEMP-2 20835817:20835817-4), *C, 20835817","Temperature (MX-TEMP-2 20835818:20835818-1), *C, 20835818","RH (MX-RH-2 20835818:20835818-2), %, 20835818","Dew Point (MX-TEMP-2 20835818:20835818-4), *C, 20835818","Temperature (MX-TEMP-2 20835819:20835819-1), *C, 20835819","RH (MX-RH-2 20835819:20835819-2), %, 20835819","Dew Point (MX-TEMP-2 20835819:20835819-4), *C, 20835819","Temperature (MX-TEMP-2 20835820:20835820-1), *C, 20835820","RH (MX-RH-2 20835820:20835820-2), %, 20835820","Dew Point (MX-TEMP-2 20835820:20835820-4), *C, 20835820","Temperature (MX-TEMP-2 20835821:20835821-1), *C, 20835821","RH (MX-RH-2 20835821:20835821-2), %, 20835821","Dew Point (MX-TEMP-2 20835821:20835821-4), *C, 20835821","Temperature (MX-TEMP-2 20835822:20835822-1), *C, 20835822","RH (MX-RH-2 20835822:20835822-2), %, 20835822","Dew Point (MX-TEMP-2 20835822:20835822-4), *C, 20835822","Temperature (MX-TEMP-2 20835823:20835823-1), *C, 20835823","RH (MX-RH-2 20835823:20835823-2), %, 20835823","Dew Point (MX-TEMP-2 20835823:20835823-4), *C, 20835823","Temperature (MX-TEMP-2 20835824:20835824-1), *C, 20835824","RH (MX-RH-2 20835824:20835824-2), %, 20835824","Dew Point (MX-TEMP-2 20835824:20835824-4), *C, 20835824","Temperature (MX-TEMP-2 20835825:20835825-1), *C, 20835825","RH (MX-RH-2 20835825:20835825-2), %, 20835825","Dew Point (MX-TEMP-2 20835825:20835825-4), *C, 20835825","Temperature (MX-TEMP-2 20843228:20843228-1), *C, 20843228","RH (MX-RH-2 20843228:20843228-2), %, 20843228","Dew Point (MX-TEMP-2 20843228:20843228-4), *C, 20843228","Temperature (MX-TEMP-2 20843229:20843229-1), *C, 20843229","RH (MX-RH-2 20843229:20843229-2), %, 20843229","Dew Point (MX-TEMP-2 20843229:20843229-4), *C, 20843229","Temperature (MX-TEMP-2 20843230:20843230-1), *C, 20843230","RH (MX-RH-2 20843230:20843230-2), %, 20843230","Dew Point (MX-TEMP-2 20843230:20843230-4), *C, 20843230","Temperature (MX-TEMP-2 20843231:20843231-1), *C, 20843231","RH (MX-RH-2 20843231:20843231-2), %, 20843231","Dew Point (MX-TEMP-2 20843231:20843231-4), *C, 20843231","Temperature (MX-TEMP-2 20843233:20843233-1), *C, 20843233","RH (MX-RH-2 20843233:20843233-2), %, 20843233","Dew Point (MX-TEMP-2 20843233:20843233-4), *C, 20843233","Temperature (MX-TEMP-2 20843235:20843235-1), *C, 20843235","RH (MX-RH-2 20843235:20843235-2), %, 20843235","Dew Point (MX-TEMP-2 20843235:20843235-4), *C, 20843235","Temperature (MX-TEMP-2 20843236:20843236-1), *C, 20843236","RH (MX-RH-2 20843236:20843236-2), %, 20843236","Dew Point (MX-TEMP-2 20843236:20843236-4), *C, 20843236","Temperature (MX-TEMP-2 20843238:20843238-1), *C, 20843238","RH (MX-RH-2 20843238:20843238-2), %, 20843238","Dew Point (MX-TEMP-2 20843238:20843238-4), *C, 20843238","Temperature (MX-TEMP-2 20843239:20843239-1), *C, 20843239","RH (MX-RH-2 20843239:20843239-2), %, 20843239","Dew Point (MX-TEMP-2 20843239:20843239-4), *C, 20843239"
3102,05/16/20 18:10:01,,,,27.54,23.53,4.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3103,05/16/20 18:11:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.05,23.12,5.08
3104,05/16/20 18:16:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.78,22.06,5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3105,05/16/20 18:16:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.53,23.46,4.85,,,,,,,,,,,,,,,,,,,,,,,,
3106,05/16/20 18:16:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.20,30.86,3.36,,,,,,
3107,05/16/20 18:17:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.81,24.00,4.56,,,
3108,05/16/20 18:17:59,,,,,,,,,,,,,,,,,,,,,,29.41,23.54,6.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3109,05/16/20 18:19:05,3.62,72.98,-0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3110,05/16/20 18:20:00,,,,,,,,,,,,,,,,27.10,22.72,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3111,05/16/20 18:20:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.47,22.12,3.96,,,,,,,,,,,,
3112,05/16/20 18:21:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.54,23.26,3.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3113,05/16/20 18:22:40,,,,,,,,,,29.20,21.98,5.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3114,05/16/20 18:22:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.96,22.90,4.02,,,,,,,,,
3115,05/16/20 18:23:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.58,23.36,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
3116,05/16/20 18:23:41,,,,,,,,,,,,,27.99,21.75,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3117,05/16/20 18:24:35,,,,,,,,,,,,,,,,,,,27.88,22.76,4.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3118,05/16/20 18:26:27,,,,,,,,,,,,,,,,,,,,,,,,,28.21,21.37,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3119,05/16/20 18:27:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.48,21.86,4.63,,,,,,,,,,,,,,,
3120,05/16/20 18:28:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.24,22.56,4.88,,,,,,,,,,,,,,,,,,
3121,05/16/20 18:29:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.63,22.22,4.98,,,,,,,,,,,,,,,,,,,,,
3122,05/16/20 18:30:01,,,,27.54,23.40,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3123,05/16/20 18:31:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.09,23.07,5.07
3124,05/16/20 18:36:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.78,21.95,4.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3125,05/16/20 18:36:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.50,23.31,4.72,,,,,,,,,,,,,,,,,,,,,,,,
3126,05/16/20 18:36:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.14,30.79,3.27,,,,,,
3127,05/16/20 18:37:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.80,23.90,4.50,,,
3128,05/16/20 18:37:59,,,,,,,,,,,,,,,,,,,,,,29.38,23.39,6.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3129,05/16/20 18:39:05,3.57,73.57,-0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3130,05/16/20 18:40:00,,,,,,,,,,,,,,,,26.99,22.41,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3131,05/16/20 18:40:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.28,22.01,3.73,,,,,,,,,,,,
3132,05/16/20 18:41:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.11,23.57,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3133,05/16/20 18:42:40,,,,,,,,,,29.23,21.76,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3134,05/16/20 18:42:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.57,23.14,3.85,,,,,,,,,
3135,05/16/20 18:43:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.56,23.23,4.73,,,,,,,,,,,,,,,,,,,,,,,,,,,
3136,05/16/20 18:43:41,,,,,,,,,,,,,27.64,21.86,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3137,05/16/20 18:44:35,,,,,,,,,,,,,,,,,,,27.72,22.65,4.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3138,05/16/20 18:46:27,,,,,,,,,,,,,,,,,,,,,,,,,27.88,21.60,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3139,05/16/20 18:47:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.33,21.86,4.50,,,,,,,,,,,,,,,
3140,05/16/20 18:48:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.15,22.42,4.71,,,,,,,,,,,,,,,,,,
3141,05/16/20 18:49:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.60,22.06,4.85,,,,,,,,,,,,,,,,,,,,,
3142,05/16/20 18:50:01,,,,27.40,23.30,4.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3143,05/16/20 18:51:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.91,22.95,4.85
3144,05/16/20 18:56:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.70,21.93,4.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3145,05/16/20 18:56:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.26,23.41,4.59,,,,,,,,,,,,,,,,,,,,,,,,
3146,05/16/20 18:56:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00,30.86,3.18,,,,,,
3147,05/16/20 18:57:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.54,23.99,4.34,,,
3148,05/16/20 18:57:59,,,,,,,,,,,,,,,,,,,,,,29.29,23.36,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3149,05/16/20 18:59:05,3.48,74.43,-0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3150,05/16/20 19:00:00,,,,,,,,,,,,,,,,26.78,23.02,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3151,05/16/20 19:00:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.20,22.47,3.95,,,,,,,,,,,,
3152,05/16/20 19:01:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.26,23.68,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3153,05/16/20 19:02:40,,,,,,,,,,29.07,21.89,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3154,05/16/20 19:02:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.71,23.34,4.09,,,,,,,,,
3155,05/16/20 19:03:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.44,23.35,4.70,,,,,,,,,,,,,,,,,,,,,,,,,,,
3156,05/16/20 19:03:41,,,,,,,,,,,,,27.74,21.98,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3157,05/16/20 19:04:35,,,,,,,,,,,,,,,,,,,27.65,22.84,4.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3158,05/16/20 19:06:27,,,,,,,,,,,,,,,,,,,,,,,,,27.97,21.62,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3159,05/16/20 19:07:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.24,22.00,4.52,,,,,,,,,,,,,,,
3160,05/16/20 19:08:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.01,22.65,4.75,,,,,,,,,,,,,,,,,,
3161,05/16/20 19:09:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.48,22.19,4.84,,,,,,,,,,,,,,,,,,,,,
3162,05/16/20 19:10:01,,,,27.32,23.50,4.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3163,05/16/20 19:11:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.84,23.16,4.92
3164,05/16/20 19:16:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.62,22.08,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3165,05/16/20 19:16:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.29,23.48,4.66,,,,,,,,,,,,,,,,,,,,,,,,
3166,05/16/20 19:16:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.88,31.25,3.25,,,,,,
3167,05/16/20 19:17:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.58,24.13,4.45,,,
3168,05/16/20 19:17:59,,,,,,,,,,,,,,,,,,,,,,29.24,23.49,6.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3169,05/16/20 19:19:05,3.35,74.77,-0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3170,05/16/20 19:20:00,,,,,,,,,,,,,,,,26.77,22.99,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3171,05/16/20 19:20:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.21,22.38,3.90,,,,,,,,,,,,
3172,05/16/20 19:21:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.28,23.46,3.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3173,05/16/20 19:22:40,,,,,,,,,,29.04,21.97,5.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3174,05/16/20 19:22:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.70,23.14,3.95,,,,,,,,,
3175,05/16/20 19:23:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.38,23.40,4.68,,,,,,,,,,,,,,,,,,,,,,,,,,,
3176,05/16/20 19:23:41,,,,,,,,,,,,,27.75,21.89,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3177,05/16/20 19:24:35,,,,,,,,,,,,,,,,,,,27.65,22.87,4.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3178,05/16/20 19:26:27,,,,,,,,,,,,,,,,,,,,,,,,,27.96,21.53,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3179,05/16/20 19:27:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.23,21.97,4.48,,,,,,,,,,,,,,,
3180,05/16/20 19:28:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.00,22.64,4.73,,,,,,,,,,,,,,,,,,
3181,05/16/20 19:29:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.43,22.20,4.81,,,,,,,,,,,,,,,,,,,,,
3182,05/16/20 19:30:01,,,,27.26,23.48,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3183,05/16/20 19:31:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.83,23.06,4.85
3184,05/16/20 19:36:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.57,22.05,4.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3185,05/16/20 19:36:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.27,23.45,4.62,,,,,,,,,,,,,,,,,,,,,,,,
3186,05/16/20 19:36:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.84,31.34,3.26,,,,,,
3187,05/16/20 19:37:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.52,24.02,4.34,,,
3188,05/16/20 19:37:59,,,,,,,,,,,,,,,,,,,,,,29.20,23.43,6.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3189,05/16/20 19:39:05,3.23,75.38,-0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3190,05/16/20 19:40:00,,,,,,,,,,,,,,,,26.73,22.97,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3191,05/16/20 19:40:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.17,22.41,3.89,,,,,,,,,,,,
3192,05/16/20 19:41:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.23,23.59,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3193,05/16/20 19:42:40,,,,,,,,,,29.00,21.90,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3194,05/16/20 19:42:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.65,23.27,3.99,,,,,,,,,
3195,05/16/20 19:43:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.32,23.41,4.64,,,,,,,,,,,,,,,,,,,,,,,,,,,
3196,05/16/20 19:43:41,,,,,,,,,,,,,27.73,21.95,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3197,05/16/20 19:44:35,,,,,,,,,,,,,,,,,,,27.60,22.77,4.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3198,05/16/20 19:46:27,,,,,,,,,,,,,,,,,,,,,,,,,27.81,21.73,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3199,05/16/20 19:47:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.14,21.95,4.40,,,,,,,,,,,,,,,
3200,05/16/20 19:48:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.94,22.65,4.68,,,,,,,,,,,,,,,,,,
3201,05/16/20 19:49:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.43,22.18,4.79,,,,,,,,,,,,,,,,,,,,,
3202,05/16/20 19:50:01,,,,27.21,23.54,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3203,05/16/20 19:51:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.73,23.22,4.87
3204,05/16/20 19:56:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.54,22.02,4.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3205,05/16/20 19:56:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.05,23.64,4.55,,,,,,,,,,,,,,,,,,,,,,,,
3206,05/16/20 19:56:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,33.62,4.18,,,,,,
3207,05/16/20 19:57:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.32,24.27,4.31,,,
3208,05/16/20 19:57:59,,,,,,,,,,,,,,,,,,,,,,29.12,23.48,6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3209,05/16/20 19:59:05,3.21,75.51,-0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3210,05/16/20 20:00:00,,,,,,,,,,,,,,,,26.38,23.53,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3211,05/16/20 20:00:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.90,22.77,3.89,,,,,,,,,,,,
3212,05/16/20 20:01:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.96,23.96,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3213,05/16/20 20:02:40,,,,,,,,,,28.86,21.98,5.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3214,05/16/20 20:02:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.37,23.60,3.96,,,,,,,,,
3215,05/16/20 20:03:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.22,23.52,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
3216,05/16/20 20:03:41,,,,,,,,,,,,,27.51,22.22,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3217,05/16/20 20:04:35,,,,,,,,,,,,,,,,,,,27.44,22.98,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3218,05/16/20 20:06:27,,,,,,,,,,,,,,,,,,,,,,,,,27.70,21.77,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3219,05/16/20 20:07:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.02,22.07,4.38,,,,,,,,,,,,,,,
3220,05/16/20 20:08:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.75,22.74,4.59,,,,,,,,,,,,,,,,,,
3221,05/16/20 20:09:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.27,22.24,4.70,,,,,,,,,,,,,,,,,,,,,
3222,05/16/20 20:10:01,,,,27.02,23.58,4.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3223,05/16/20 20:11:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.60,23.16,4.72
3224,05/16/20 20:16:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.38,22.10,4.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3225,05/16/20 20:16:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,23.55,4.46,,,,,,,,,,,,,,,,,,,,,,,,
3226,05/16/20 20:16:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.77,33.99,4.35,,,,,,
3227,05/16/20 20:17:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.28,24.10,4.18,,,
3228,05/16/20 20:17:59,,,,,,,,,,,,,,,,,,,,,,29.01,23.48,6.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3229,05/16/20 20:19:05,3.11,76.37,-0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3230,05/16/20 20:20:00,,,,,,,,,,,,,,,,26.41,23.29,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3231,05/16/20 20:20:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.96,22.50,3.77,,,,,,,,,,,,
3232,05/16/20 20:21:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.95,23.66,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3233,05/16/20 20:22:40,,,,,,,,,,28.78,22.02,4.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3234,05/16/20 20:22:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.34,23.42,3.82,,,,,,,,,
3235,05/16/20 20:23:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.09,23.48,4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
3236,05/16/20 20:23:41,,,,,,,,,,,,,27.49,22.00,3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3237,05/16/20 20:24:35,,,,,,,,,,,,,,,,,,,27.42,22.91,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3238,05/16/20 20:26:27,,,,,,,,,,,,,,,,,,,,,,,,,27.67,21.69,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
